x-axis,1,2,3,F1
second,Volt,Volt,Volt,Volt
+675.0000E-06,-134.7035160E-03,+85.4271348E-03,-160.8040184E-03,-205.5109628E-03
+675.2500E-06,-128.4221090E-03,+160.8040184E-03,-163.5678374E-03,-280.8130868E-03
+675.5000E-06,-123.3969835E-03,+160.8040184E-03,-160.8040184E-03,-269.5521004E-03
+675.7500E-06,-114.6030137E-03,+241.2060276E-03,-161.5577872E-03,-341.1158212E-03
+676.0000E-06,-94.5025114E-03,+241.2060276E-03,-160.8040184E-03,-321.0962899E-03
+676.2500E-06,-94.5025114E-03,+241.2060276E-03,-163.5678374E-03,-321.0962899E-03
+676.5000E-06,-83.1959789E-03,+241.2060276E-03,-160.8040184E-03,-321.0962899E-03
+676.7500E-06,-74.4020091E-03,+256.2814042E-03,-161.5577872E-03,-301.0767587E-03
+677.0000E-06,-55.5577882E-03,+321.6080368E-03,-160.8040184E-03,-381.3990243E-03
+677.2500E-06,-54.3015068E-03,+321.6080368E-03,-160.8040184E-03,-381.3990243E-03
+677.5000E-06,-54.3015068E-03,+366.8341670E-03,-160.8040184E-03,-406.5607675E-03
+677.7500E-06,-54.3015068E-03,+402.0100459E-03,-160.8040184E-03,-441.7017587E-03
+678.0000E-06,-53.0452254E-03,+482.4120551E-03,-160.5527621E-03,-522.0240243E-03
+678.2500E-06,-34.2010045E-03,+457.2864272E-03,-160.8040184E-03,-421.6822274E-03
+678.5000E-06,-34.2010045E-03,+482.4120551E-03,-158.5427119E-03,-502.0044930E-03
+678.7500E-06,-14.1005022E-03,+482.4120551E-03,-160.8040184E-03,-498.2508309E-03
+679.0000E-06,-14.1005022E-03,+562.8140643E-03,-156.7839179E-03,-562.3072274E-03
+679.2500E-06,-14.1005022E-03,+562.8140643E-03,-158.0401993E-03,-562.3072274E-03
+679.5000E-06,+6.0000001E-03,+597.9899433E-03,-159.0452244E-03,-542.2876962E-03
+679.7500E-06,+6.0000001E-03,+562.8140643E-03,-156.7839179E-03,-542.2876962E-03
+680.0000E-06,+7.2562815E-03,+643.2160735E-03,-156.7839179E-03,-622.6099618E-03
+680.2500E-06,+26.1005023E-03,+643.2160735E-03,-155.5276365E-03,-602.5904305E-03
+680.5000E-06,+37.4070349E-03,+643.2160735E-03,-156.7839179E-03,-602.5904305E-03
+680.7500E-06,+46.2010046E-03,+723.6180827E-03,-156.7839179E-03,-662.8931649E-03
+681.0000E-06,+46.2010046E-03,+723.6180827E-03,-156.5326616E-03,-662.8931649E-03
+681.2500E-06,+46.2010046E-03,+778.8944640E-03,-152.7638175E-03,-662.8931649E-03
+681.5000E-06,+66.3015069E-03,+804.0200919E-03,-152.7638175E-03,-723.1958993E-03
+681.7500E-06,+86.4020092E-03,+804.0200919E-03,-156.7839179E-03,-723.1958993E-03
+682.0000E-06,+86.4020092E-03,+809.0452175E-03,-152.7638175E-03,-703.1763680E-03
+682.2500E-06,+86.4020092E-03,+829.1457198E-03,-152.7638175E-03,-728.2770761E-03
+682.5000E-06,+86.4020092E-03,+884.4221011E-03,-152.7638175E-03,-738.3173592E-03
+682.7500E-06,+106.5025115E-03,+884.4221011E-03,-152.0100486E-03,-763.4791024E-03
+683.0000E-06,+125.3467324E-03,+889.4472267E-03,-152.5125612E-03,-768.4992441E-03
+683.2500E-06,+106.5025115E-03,+964.8241103E-03,-148.7437170E-03,-818.7006599E-03
+683.5000E-06,+126.6030138E-03,+999.9999892E-03,-148.7437170E-03,-823.7818368E-03
+683.7500E-06,+126.6030138E-03,+1.0452261195E+00,-147.9899482E-03,-823.7818368E-03
+684.0000E-06,+126.6030138E-03,+1.0452261195E+00,-148.7437170E-03,-899.0839607E-03
+684.2500E-06,+146.7035161E-03,+1.0452261195E+00,-145.9798979E-03,-884.0845712E-03
+684.5000E-06,+146.7035161E-03,+1.0452261195E+00,-144.7236165E-03,-884.0845712E-03
+684.7500E-06,+166.8040184E-03,+1.1256281286E+00,-144.7236165E-03,-864.0650399E-03
+685.0000E-06,+168.0602998E-03,+1.0502512451E+00,-144.7236165E-03,-869.0851816E-03
+685.2500E-06,+186.9045207E-03,+1.1507537566E+00,-144.7236165E-03,-930.6238778E-03
+685.5000E-06,+186.9045207E-03,+1.2060301378E+00,-142.4623100E-03,-935.6287606E-03
+685.7500E-06,+186.9045207E-03,+1.2060301378E+00,-143.9698477E-03,-1.0046900399E+00
+686.0000E-06,+186.9045207E-03,+1.2060301378E+00,-140.7035161E-03,-1.0046900399E+00
+686.2500E-06,+207.0050230E-03,+1.2613065191E+00,-140.7035161E-03,-984.6705087E-03
+686.5000E-06,+227.1055253E-03,+1.2864321470E+00,-140.7035161E-03,-1.0449732430E+00
+686.7500E-06,+227.1055253E-03,+1.2864321470E+00,-136.6834156E-03,-1.0612391122E+00
+687.0000E-06,+227.1055253E-03,+1.3618090306E+00,-136.9346719E-03,-1.0449732430E+00
+687.2500E-06,+240.9246206E-03,+1.3417085283E+00,-136.6834156E-03,-1.0449732430E+00
+687.5000E-06,+247.2060276E-03,+1.3668341562E+00,-138.9447221E-03,-1.1052759774E+00
+687.7500E-06,+247.2060276E-03,+1.3668341562E+00,-136.6834156E-03,-1.1052759774E+00
+688.0000E-06,+248.4623090E-03,+1.3668341562E+00,-136.4321593E-03,-1.1040247567E+00
+688.2500E-06,+267.3065299E-03,+1.4472361654E+00,-133.9195966E-03,-1.1655787118E+00
+688.5000E-06,+267.3065299E-03,+1.4472361654E+00,-136.6834156E-03,-1.1655787118E+00
+688.7500E-06,+287.4070322E-03,+1.4472361654E+00,-132.6633152E-03,-1.1455591805E+00
+689.0000E-06,+287.4070322E-03,+1.4472361654E+00,-128.8944710E-03,-1.1455591805E+00
+689.2500E-06,+287.4070322E-03,+1.5276381746E+00,-132.6633152E-03,-1.2258814462E+00
+689.5000E-06,+307.5075345E-03,+1.5276381746E+00,-128.6432147E-03,-1.2258814462E+00
+689.7500E-06,+307.5075345E-03,+1.5276381746E+00,-129.3969835E-03,-1.2058619149E+00
+690.0000E-06,+308.7638159E-03,+1.6030150581E+00,-124.8743705E-03,-1.2058619149E+00
+690.2500E-06,+327.6080368E-03,+1.6080401838E+00,-128.6432147E-03,-1.2661646493E+00
+690.5000E-06,+327.6080368E-03,+1.6080401838E+00,-126.8844208E-03,-1.2661646493E+00
+690.7500E-06,+327.6080368E-03,+1.6080401838E+00,-125.3768831E-03,-1.2661646493E+00
+691.0000E-06,+346.4522577E-03,+1.6884421930E+00,-124.6231142E-03,-1.2524164804E+00
+691.2500E-06,+347.7085391E-03,+1.6331658117E+00,-124.6231142E-03,-1.2712458261E+00
+691.5000E-06,+359.0150717E-03,+1.6884421930E+00,-124.6231142E-03,-1.3264673837E+00
+691.7500E-06,+367.8090414E-03,+1.7537688255E+00,-120.6030138E-03,-1.3102015145E+00
+692.0000E-06,+367.8090414E-03,+1.7688442022E+00,-120.6030138E-03,-1.3867701180E+00
+692.2500E-06,+387.9095437E-03,+1.7688442022E+00,-120.6030138E-03,-1.3867701180E+00
+692.5000E-06,+387.9095437E-03,+1.7688442022E+00,-120.6030138E-03,-1.3667505868E+00
+692.7500E-06,+391.6783879E-03,+1.7839195788E+00,-116.5829133E-03,-1.3667505868E+00
+693.0000E-06,+406.7537646E-03,+1.7738693278E+00,-116.5829133E-03,-1.3717707285E+00
+693.2500E-06,+408.0100460E-03,+1.8492462113E+00,-116.5829133E-03,-1.4333094247E+00
+693.5000E-06,+428.1105483E-03,+1.8492462113E+00,-114.3216068E-03,-1.4270533212E+00
+693.7500E-06,+411.7788902E-03,+1.8492462113E+00,-112.5628129E-03,-1.4270533212E+00
+694.0000E-06,+428.1105483E-03,+1.9296482205E+00,-112.5628129E-03,-1.4873560555E+00
+694.2500E-06,+441.9296436E-03,+1.9296482205E+00,-112.5628129E-03,-1.4873560555E+00
+694.5000E-06,+428.1105483E-03,+1.9296482205E+00,-108.5427124E-03,-1.4873560555E+00
